transaction_id,date,amount,location,category,fraud_type,is_fraud
46,2021-06-01,300767.04,10,7,2,0
47,2022-03-04,404843.11,17,5,2,0
48,2024-10-14,527032.85,14,7,3,1
49,2025-11-27,290699.37,3,6,2,0
50,2020-05-11,488711.0,14,9,2,0
51,2022-10-25,376977.73,19,7,1,1
52,2024-09-05,90220.8,12,7,3,1
53,2024-09-02,868456.11,7,8,2,0
54,2022-03-09,288552.24,16,2,1,1
55,2021-03-12,613279.53,2,9,3,1
56,2025-02-08,574102.21,18,7,2,0
57,2020-09-23,207175.11,5,1,0,1
58,2022-09-24,39658.59,4,4,2,0
59,2022-10-13,858362.1,19,4,2,0
60,2020-09-15,502712.96,14,0,1,1
61,2024-04-05,420322.84,1,5,2,0
62,2024-05-13,765281.41,13,5,0,1
63,2024-01-20,42827.33,10,0,2,0
64,2023-06-03,767563.13,11,6,1,1
65,2021-09-01,414825.32,17,4,3,1
66,2020-04-09,556107.47,5,7,3,1
67,2022-09-28,754914.85,5,1,2,0
68,2022-09-12,551342.49,6,7,2,0
69,2024-10-25,71154.5,15,2,2,0
70,2025-05-31,731314.88,17,8,2,0
71,2021-11-28,788478.22,15,5,3,1
72,2023-07-16,467274.23,3,5,0,1
73,2021-01-29,444668.81,1,7,2,0
74,2021-02-25,259406.3,10,3,1,1
75,2022-11-01,647721.13,2,2,2,0
76,2023-03-22,883168.63,15,3,2,0
77,2021-09-29,659409.05,5,8,2,0
78,2024-05-11,773611.64,16,9,1,1
79,2021-11-10,839081.09,18,3,0,1
80,2022-11-27,233882.75,17,7,0,1
81,2025-05-27,408083.29,0,4,3,1
82,2022-03-18,441600.02,19,0,0,1
83,2023-04-20,563311.36,0,5,3,1
84,2023-10-11,58690.3,13,4,2,0
85,2024-03-17,592523.1,17,2,2,0
86,2025-10-23,97636.27,11,5,1,1
87,2023-07-16,808504.19,19,0,2,0
88,2022-03-02,963391.77,16,3,2,0
89,2025-06-24,296861.42,4,2,1,1
90,2021-08-22,511548.97,5,7,1,1
91,2022-02-16,824955.67,14,5,3,1
92,2023-01-10,321507.47,17,2,1,1
93,2022-09-15,166199.92,1,4,3,1
94,2021-07-11,741671.9,0,5,2,0
95,2025-12-01,701378.0,16,1,2,0
96,2020-10-01,574246.01,12,6,1,1
97,2021-11-30,944992.43,6,9,2,0
98,2020-05-27,955571.08,17,5,2,0
99,2021-07-17,862933.94,12,5,2,0
100,2022-08-20,300089.88,12,6,1,1
101,2023-03-31,233112.27,1,3,1,1
102,2025-08-25,837383.29,15,9,3,1
103,2025-06-20,654847.28,0,8,2,0
104,2022-11-23,402164.77,17,9,2,0
105,2025-11-30,415658.91,10,1,2,0
106,2021-07-27,854798.86,1,3,1,1
107,2023-07-20,171614.79,3,8,3,1
108,2025-06-09,944533.68,12,6,2,0
109,2025-02-09,636883.14,9,1,2,0
110,2021-08-17,793444.16,6,4,2,0
111,2022-07-03,377157.89,9,1,0,1
112,2024-06-23,591027.4,19,6,2,0
113,2020-02-22,752490.59,4,9,1,1
114,2025-12-19,440778.67,3,9,2,0
115,2021-09-22,493056.98,5,3,2,0
116,2025-07-27,586259.03,15,8,3,1
117,2025-09-24,72772.92,3,9,2,0
118,2023-12-02,864554.66,2,7,3,1
119,2021-09-16,868011.16,10,5,2,0
120,2023-05-13,288603.5,15,6,1,1
121,2021-08-30,881024.31,0,2,2,0
122,2024-09-21,747742.86,2,6,1,1
123,2021-01-29,488359.49,10,1,0,1
124,2024-08-27,354286.38,10,2,0,1
125,2023-07-03,405385.13,13,8,2,0
126,2024-12-15,539074.73,2,8,2,0
127,2021-06-20,418395.49,6,7,0,1
128,2024-08-28,426035.94,9,0,2,0
129,2022-11-08,211092.14,13,1,2,0
130,2020-10-28,710733.89,14,8,2,0
131,2025-07-02,613495.66,14,3,2,0
132,2023-02-04,991982.47,10,8,1,1
133,2023-02-25,149831.76,8,8,1,1
134,2023-06-17,122600.97,7,3,2,0
135,2020-04-01,520772.98,14,8,0,1
136,2021-12-07,160470.86,10,3,0,1
137,2024-04-11,614514.94,10,5,1,1
138,2022-10-29,204153.96,6,3,3,1
139,2021-07-21,488168.51,1,4,2,0
140,2025-02-25,615198.34,5,7,3,1
141,2020-04-02,463460.38,17,6,0,1
142,2020-02-08,326785.45,7,0,0,1
143,2021-03-02,784492.92,11,4,1,1
144,2021-02-02,856111.44,7,6,2,0
145,2024-06-06,285269.34,9,9,1,1
146,2021-12-13,815259.8,7,1,0,1
147,2025-09-14,397717.68,16,4,3,1
148,2024-10-24,492747.4,14,4,2,0
149,2025-06-03,239432.19,1,4,2,0
150,2020-10-02,629466.54,12,4,0,1
151,2022-02-12,109917.45,3,1,1,1
152,2025-08-14,595721.15,1,6,3,1
153,2020-09-23,989820.9,6,7,2,0
154,2021-12-20,755931.64,7,3,0,1
155,2024-12-12,896088.92,14,4,0,1
156,2025-05-30,469553.58,8,1,2,0
157,2020-12-28,150684.29,15,5,1,1
158,2024-12-05,295577.27,0,1,2,0
159,2020-09-28,58539.38,9,0,2,0
160,2021-02-21,506792.86,15,7,3,1
161,2025-11-07,653170.2,0,6,2,0
162,2022-08-04,430238.47,18,9,2,0
163,2024-03-18,567572.85,18,2,2,0
164,2025-08-25,327495.23,12,7,3,1
165,2022-05-22,94999.51,6,9,2,0
166,2021-02-15,437679.0,18,7,2,0
167,2025-05-09,552319.82,5,6,0,1
168,2021-08-11,982808.45,12,6,2,0
169,2022-11-14,353800.67,11,5,2,0
170,2025-12-17,680991.96,14,1,3,1
171,2020-09-30,824398.2,2,6,1,1
172,2024-05-01,342036.82,18,3,1,1
173,2023-01-05,930631.93,2,9,3,1
174,2025-07-03,345442.97,3,2,2,0
175,2023-02-01,970106.27,16,5,0,1
176,2020-01-26,12135.35,15,6,3,1
177,2020-10-01,637831.59,1,7,0,1
178,2025-06-14,792026.99,9,8,2,0
179,2020-12-11,287259.81,15,9,2,0
180,2025-05-25,125879.77,9,0,3,1
181,2021-06-18,34124.76,3,8,2,0
182,2024-08-21,83662.87,14,2,2,0
183,2025-10-09,547603.7,5,5,2,0
184,2024-09-16,840775.73,4,8,2,0
185,2020-09-02,72499.56,15,5,2,0
186,2022-08-22,122048.57,11,9,1,1
187,2023-06-02,15051.97,10,2,2,0
188,2020-09-25,289454.62,19,8,2,0
189,2025-11-22,922033.92,8,8,2,0
190,2021-06-16,283525.12,18,5,0,1
191,2024-04-03,446406.3,15,3,0,1
192,2022-07-23,187167.82,19,1,1,1
193,2022-02-10,125121.69,12,3,2,0
194,2023-12-04,190570.5,14,4,2,0
195,2020-04-28,218328.51,11,8,2,0
196,2024-08-31,138985.94,9,8,2,0
197,2020-07-13,793637.48,16,8,2,0
198,2023-05-25,482473.18,19,6,2,0
199,2020-03-29,544371.73,14,0,0,1
200,2021-03-13,380904.07,4,5,2,0
201,2023-05-16,218635.41,16,5,2,0
202,2023-02-21,102962.65,5,7,1,1
203,2024-09-27,85166.45,7,0,2,0
204,2025-01-07,193290.61,5,7,1,1
205,2022-04-14,851674.43,9,2,0,1
206,2025-04-28,224379.74,1,3,0,1
207,2020-05-13,361271.4,8,7,1,1
208,2024-11-26,577024.13,7,2,0,1
209,2024-06-30,516298.97,9,7,1,1
210,2023-11-25,669162.42,6,2,2,0
211,2024-06-07,202371.68,18,6,0,1
212,2024-07-11,528808.44,19,9,0,1
213,2021-04-09,770071.67,12,6,3,1
214,2022-09-15,393631.89,3,7,3,1
215,2024-03-17,972175.45,0,4,2,0
216,2021-05-26,582169.94,0,6,3,1
217,2024-02-10,678078.29,18,9,2,0
218,2022-07-01,464496.86,17,3,1,1
219,2021-07-31,859272.34,14,2,2,0
220,2025-07-17,456972.05,5,1,2,0
221,2024-06-18,942857.51,1,1,2,0
222,2020-12-29,314415.64,3,8,3,1
223,2021-02-28,867161.21,1,2,1,1
224,2023-03-30,642959.64,16,3,2,0
225,2024-11-13,801064.12,9,0,0,1
226,2020-07-14,47324.27,16,4,3,1
227,2023-10-13,284506.86,18,9,2,0
228,2023-02-07,848608.07,15,0,2,0
229,2023-07-02,325150.36,18,7,1,1
230,2021-02-15,715528.8,14,4,2,0
231,2021-02-11,992266.93,8,3,2,0
232,2021-02-17,185397.06,13,7,2,0
233,2025-07-19,423370.48,4,1,3,1
234,2023-11-12,173475.44,1,3,3,1
235,2021-10-31,162743.59,15,2,2,0
236,2024-06-15,636712.4,0,7,2,0
237,2022-04-04,199462.28,12,6,3,1
238,2023-03-21,487827.41,6,1,2,0
239,2021-08-24,978162.06,18,5,1,1
240,2025-04-22,339798.19,12,6,2,0
241,2024-12-02,874893.55,6,1,3,1
242,2022-09-29,402401.41,15,9,0,1
243,2024-08-01,270236.26,1,7,0,1
244,2020-05-30,342889.19,18,2,0,1
245,2020-06-19,136409.61,11,4,2,0
246,2023-01-27,682195.3,6,5,2,0
247,2021-08-06,513929.75,3,0,2,0
248,2022-06-01,617692.16,16,1,2,0
249,2023-06-07,310061.85,3,2,2,0
250,2021-09-14,656930.32,9,3,2,0
251,2023-11-21,172952.9,4,0,3,1
252,2022-12-08,655947.99,9,9,2,0
253,2025-08-22,90326.78,19,3,2,0
254,2020-04-26,406270.42,3,9,3,1
255,2021-02-15,613655.52,0,4,0,1
256,2021-01-29,856764.37,19,8,2,0
257,2025-08-02,814290.88,11,5,3,1
258,2024-10-05,531680.58,4,8,3,1
259,2020-08-22,884536.99,18,8,1,1
260,2022-04-06,510843.94,1,0,3,1
261,2024-01-13,521995.05,5,3,1,1
262,2021-06-22,723348.11,10,2,2,0
263,2024-03-01,879004.5,6,8,2,0
264,2023-10-19,606689.33,19,1,2,0
265,2023-01-09,944749.84,9,5,2,0
266,2023-06-17,240260.21,10,4,2,0
267,2021-01-14,925066.33,19,7,2,0
268,2021-02-06,229436.43,18,5,2,0
269,2020-03-01,531151.34,8,5,1,1
270,2023-08-11,798071.48,15,2,2,0
271,2023-12-06,803568.33,17,3,3,1
272,2024-12-29,285377.67,7,0,2,0
273,2021-10-01,986036.27,5,4,2,0
274,2025-03-26,89797.39,17,8,0,1
275,2024-08-25,44434.92,4,2,0,1
276,2023-01-04,843114.16,4,9,2,0
277,2025-12-18,820828.72,1,9,2,0
278,2021-08-23,715689.27,0,4,1,1
279,2024-01-06,852266.28,8,0,2,0
280,2024-01-25,146183.66,5,3,2,0
281,2021-09-26,104730.67,12,2,3,1
282,2022-04-26,969708.61,19,0,3,1
283,2025-03-25,627995.61,11,4,3,1
284,2022-12-11,920648.28,11,3,2,0
285,2024-12-25,907378.79,17,0,2,0
286,2024-10-22,656608.44,7,8,2,0
287,2023-03-16,632189.77,1,9,3,1
288,2025-12-26,366346.35,5,2,2,0
289,2025-12-23,157618.96,19,4,3,1
290,2022-06-23,689738.9,11,1,2,0
291,2021-04-02,819681.96,9,6,3,1
292,2025-04-21,549177.51,14,9,2,0
293,2020-05-10,60360.45,11,8,2,0
294,2025-03-28,153468.53,10,3,2,0
295,2024-12-02,110940.74,4,4,2,0
296,2020-09-08,661253.33,12,1,2,0
297,2024-08-13,569141.2,5,9,3,1
298,2024-11-15,471835.29,7,3,2,0
299,2020-08-06,547974.47,15,7,3,1
300,2021-06-27,283195.29,15,4,0,1
301,2023-09-02,806679.9,2,6,0,1
302,2025-01-01,335259.8,0,6,0,1
303,2023-05-11,647858.18,9,1,3,1
304,2022-06-17,396965.5,13,2,2,0
305,2021-10-03,81444.86,6,9,2,0
306,2023-05-09,264381.91,14,3,1,1
307,2024-12-30,965447.34,2,6,2,0
308,2024-07-20,198631.75,13,9,3,1
309,2024-06-09,113879.41,9,0,1,1
310,2020-10-15,298240.67,15,5,3,1
311,2025-10-15,879146.65,2,1,2,0
312,2024-03-29,312966.16,10,3,2,0
313,2021-03-14,423206.34,4,0,1,1
314,2021-07-17,316976.15,8,0,1,1
315,2022-01-25,989083.83,16,7,2,0
316,2020-01-23,999876.35,16,7,3,1
317,2023-09-22,487945.03,10,3,1,1
318,2024-10-31,786977.45,14,3,2,0
319,2025-08-19,227859.24,4,1,3,1
320,2022-06-18,380552.2,13,3,2,0
321,2022-04-27,682546.27,9,4,1,1
322,2024-03-25,293465.12,16,1,1,1
323,2020-11-01,232451.76,5,7,0,1
324,2025-02-11,923015.5,15,8,2,0
325,2020-05-11,251855.1,19,4,2,0
326,2022-09-26,68685.04,3,8,1,1
327,2021-12-17,753577.13,18,0,2,0
328,2025-12-23,250835.61,12,5,2,0
329,2021-01-19,455682.31,10,1,2,0
330,2025-10-22,120441.46,19,8,2,0
331,2024-10-03,77830.42,17,7,0,1
332,2024-03-09,465841.22,7,5,3,1
333,2021-04-17,343717.46,14,8,1,1
334,2023-04-23,510865.97,11,7,1,1
335,2022-07-11,966125.42,2,1,2,0
336,2022-10-14,413314.4,6,9,2,0
337,2025-12-07,606630.53,12,6,1,1
338,2020-05-27,106619.43,8,5,2,0
339,2024-05-31,887058.43,7,8,2,0
340,2022-03-27,807802.49,6,1,1,1
341,2024-01-09,527182.94,6,1,0,1
342,2025-06-04,191543.11,13,9,0,1
343,2021-02-26,431690.42,14,8,1,1
344,2022-02-07,304410.16,0,3,1,1
345,2022-02-13,994571.59,17,6,1,1
346,2022-06-26,495929.91,16,1,0,1
347,2023-12-20,428010.77,18,7,2,0
348,2021-05-01,177367.73,6,7,2,0
349,2023-07-22,246717.86,11,4,1,1
350,2025-10-30,714471.84,6,5,1,1
351,2025-07-06,539560.24,19,7,1,1
352,2021-09-30,364451.0,19,6,3,1
353,2021-05-16,304043.55,1,4,1,1
354,2020-06-18,208732.84,18,0,3,1
355,2025-04-04,43558.91,9,5,0,1
356,2022-07-07,977378.47,11,0,0,1
357,2020-08-07,755579.25,9,6,1,1
358,2022-09-05,928592.11,19,0,2,0
359,2024-04-25,418425.36,14,7,2,0
360,2021-02-28,870688.92,4,9,1,1
361,2021-01-10,263687.42,7,3,3,1
362,2021-01-28,514736.47,10,8,0,1
363,2024-09-19,210454.65,14,5,2,0
364,2022-11-30,772633.79,1,4,3,1
365,2022-01-19,502625.99,15,8,0,1
366,2020-07-25,540910.21,5,4,2,0
367,2022-06-30,860860.08,12,5,1,1
368,2020-04-27,741825.24,0,6,2,0
369,2021-05-14,966603.3,1,7,2,0
370,2024-12-03,411282.64,14,9,2,0
371,2021-04-18,466840.18,16,0,2,0
372,2021-07-31,619185.3,5,6,1,1
373,2022-01-14,458779.33,3,3,2,0
374,2022-11-30,425419.23,17,4,1,1
375,2025-12-06,347166.02,13,8,3,1
376,2020-11-04,833565.38,12,8,1,1
377,2025-03-15,538154.47,4,3,2,0
378,2022-08-07,611329.1,8,3,3,1
379,2021-07-17,212034.78,15,4,0,1
380,2020-09-14,259258.72,5,2,2,0
381,2020-03-16,346395.28,13,2,2,0
382,2020-05-23,470715.29,9,0,2,0
383,2020-12-02,53488.03,0,8,3,1
384,2023-05-25,889507.45,8,1,0,1
385,2021-02-23,904675.13,6,6,2,0
386,2021-12-20,665063.12,17,6,2,0
387,2022-12-18,322892.31,12,6,1,1
388,2022-01-15,391465.12,16,4,0,1
389,2021-07-31,736710.49,15,0,0,1
390,2023-06-21,293428.1,0,5,2,0
391,2023-10-04,612828.84,4,2,2,0
392,2020-01-29,907208.37,4,3,1,1
393,2022-03-24,416343.35,19,7,2,0
394,2024-04-13,591178.28,3,0,2,0
395,2020-02-18,929303.89,1,2,2,0
396,2022-02-23,347175.75,5,7,2,0
397,2024-11-21,762043.35,6,5,0,1
398,2022-02-17,757570.64,12,2,2,0
399,2023-10-28,929210.24,15,0,2,0
400,2024-02-02,860003.43,14,7,1,1
401,2025-10-20,751339.9,9,6,1,1
402,2024-12-21,640150.27,7,0,0,1
403,2023-08-07,248776.41,9,0,2,0
404,2023-11-09,673942.19,10,1,3,1
405,2024-02-25,283679.03,13,4,0,1
406,2020-01-13,445619.41,14,8,2,0
407,2025-01-30,712601.65,19,9,2,0
408,2025-04-14,678145.31,14,8,1,1
409,2021-05-17,407187.1,17,8,1,1
410,2025-01-17,190848.93,1,9,1,1
411,2020-04-12,489301.03,14,6,2,0
412,2021-12-04,277273.19,7,1,2,0
413,2023-01-10,262880.13,4,6,2,0
414,2022-02-02,333525.65,17,6,1,1
415,2022-09-20,709175.38,1,4,3,1
416,2022-12-06,502312.97,17,4,2,0
417,2023-11-08,379439.27,8,4,2,0
418,2023-10-11,901588.87,15,7,1,1
419,2022-09-09,709712.87,9,9,2,0
420,2023-02-09,499706.3,14,9,3,1
421,2024-01-07,427075.48,9,4,2,0
422,2020-12-08,820707.86,1,8,2,0
423,2024-04-07,181195.25,14,5,2,0
424,2024-12-12,667512.39,12,6,2,0
425,2025-07-12,30805.15,18,1,2,0
426,2021-08-20,16891.11,6,4,2,0
427,2021-09-09,932465.86,18,5,2,0
428,2021-10-25,518848.69,1,2,3,1
429,2025-04-02,321966.25,18,6,1,1
430,2021-01-20,796749.24,5,8,2,0
431,2025-03-21,984979.73,14,2,1,1
432,2024-05-11,44069.65,19,8,0,1
433,2022-03-21,47581.09,17,4,0,1
434,2023-09-08,856234.23,9,2,2,0
435,2021-06-03,561147.65,16,7,2,0
436,2025-08-03,883914.32,4,2,2,0
437,2023-03-30,697696.65,14,1,2,0
438,2022-11-01,475879.8,16,2,3,1
439,2020-03-14,169732.47,13,9,1,1
440,2022-03-04,395962.54,2,1,2,0
441,2020-02-12,789273.64,16,4,2,0
442,2023-06-14,241578.37,1,8,0,1
443,2023-06-04,715242.83,11,3,3,1
444,2022-07-02,254871.13,18,7,1,1
445,2023-03-13,468899.03,4,2,2,0
446,2021-02-25,94577.68,3,1,2,0
447,2020-02-19,460448.47,14,9,0,1
448,2024-08-14,616575.52,8,0,1,1
449,2025-06-22,567684.86,10,8,0,1
450,2024-04-11,412401.85,0,3,2,0
451,2020-08-29,375998.32,8,5,3,1
452,2020-01-13,282644.77,0,3,1,1
453,2024-04-08,769433.03,18,7,1,1
454,2023-09-08,784811.72,1,3,2,0
455,2024-10-15,488197.27,13,0,2,0
456,2024-01-28,388736.15,12,8,0,1
457,2021-10-21,641048.74,13,2,2,0
458,2022-05-13,562155.0,10,8,3,1
459,2022-04-09,670582.91,3,8,2,0
460,2024-05-15,312955.38,5,4,2,0
461,2025-10-15,790466.06,1,4,3,1
462,2020-06-24,323575.38,10,1,0,1
463,2025-12-01,424536.04,10,2,2,0
464,2024-07-30,141098.5,2,9,3,1
465,2021-01-25,856815.63,6,9,2,0
466,2021-12-16,647831.01,8,4,3,1
467,2023-12-31,242934.19,3,0,2,0
468,2023-12-27,853200.87,2,0,2,0
469,2024-04-22,707745.08,13,5,3,1
470,2025-07-17,447758.45,16,3,1,1
471,2025-11-05,989944.4,11,6,2,0
472,2025-09-19,343837.65,8,4,2,0
473,2022-03-14,108554.07,14,6,1,1
474,2024-12-28,736124.46,18,4,2,0
475,2022-05-03,759478.55,15,8,1,1
476,2024-10-22,68375.45,0,9,2,0
477,2021-10-26,821224.93,3,3,1,1
478,2024-11-23,778182.1,6,8,2,0
479,2024-08-07,930300.41,1,0,2,0
480,2023-09-12,127363.63,12,4,2,0
481,2023-05-16,604801.46,10,1,0,1
482,2023-03-14,227228.32,5,3,0,1
483,2021-08-01,405447.53,2,0,2,0
484,2021-05-16,272439.92,9,6,2,0
485,2021-08-03,454804.72,6,6,2,0
486,2021-06-25,121747.57,14,3,2,0
487,2022-01-30,310480.35,17,6,2,0
488,2020-02-12,80209.54,18,3,2,0
489,2020-06-04,496913.67,11,9,2,0
490,2020-02-21,303716.38,14,7,1,1
491,2025-12-26,594405.47,0,5,0,1
492,2025-05-11,461881.72,2,1,2,0
493,2024-08-01,251414.56,0,5,2,0
494,2025-02-28,111910.82,2,7,0,1
495,2021-02-05,755783.52,11,5,1,1
496,2020-11-13,636801.23,6,6,2,0
497,2022-05-15,42600.7,8,6,2,0
498,2020-12-01,989471.9,18,3,3,1
499,2023-08-10,646065.37,5,9,2,0
500,2023-03-03,215108.98,6,6,1,1
501,2021-07-20,842091.9,15,7,3,1
502,2020-05-15,883279.71,6,1,2,0
503,2021-10-06,577948.54,4,9,2,0
504,2021-10-16,886716.48,8,9,3,1
505,2021-06-24,38880.05,7,1,2,0
506,2022-06-28,945715.04,19,7,1,1
507,2020-06-23,66631.58,8,8,2,0
508,2022-10-28,645966.16,11,1,2,0
509,2021-02-08,352435.69,4,7,2,0
510,2020-07-16,48919.23,19,1,2,0
511,2020-02-16,929995.42,6,1,2,0
512,2021-07-05,144004.08,3,0,3,1
513,2021-01-29,855206.75,15,5,3,1
514,2023-03-23,337041.56,13,7,2,0
515,2023-08-09,743752.36,2,1,0,1
516,2024-02-17,261678.58,2,4,1,1
517,2022-08-11,587599.6,7,3,2,0
518,2021-02-16,801558.27,19,6,2,0
519,2023-04-06,570518.03,4,5,0,1
520,2020-12-07,313487.04,7,4,3,1
521,2023-09-08,241101.38,4,4,3,1
522,2025-03-17,183057.54,13,0,2,0
523,2020-04-22,840424.4,6,6,2,0
524,2022-06-24,614833.2,7,9,2,0
525,2025-04-20,513591.15,18,2,2,0
526,2024-05-06,257084.88,3,0,2,0
527,2023-04-10,439415.72,8,1,2,0
528,2021-03-07,623862.18,18,1,3,1
529,2024-03-07,81162.84,18,2,2,0
530,2020-11-17,367107.79,5,5,3,1
531,2021-05-31,247108.62,17,6,2,0
532,2024-05-28,650049.76,0,6,3,1
533,2023-03-02,610206.32,3,9,2,0
534,2023-10-30,306421.34,14,6,2,0
535,2020-04-07,51214.41,17,7,2,0
536,2021-06-15,190984.62,19,1,2,0
537,2024-05-02,168461.45,3,7,1,1
538,2020-09-24,572710.39,5,2,3,1
539,2021-04-04,177598.54,7,0,2,0
540,2024-11-16,487511.01,0,7,3,1
541,2020-07-14,618383.55,14,6,2,0
542,2020-05-02,880769.93,3,5,2,0
543,2025-05-01,252577.29,16,5,3,1
544,2025-11-04,194053.81,1,3,2,0
545,2024-02-04,181521.29,12,8,2,0
546,2024-05-11,366825.02,11,3,1,1
547,2020-01-31,652689.41,11,0,0,1
548,2020-10-26,675143.8,1,0,0,1
549,2021-10-29,218852.28,0,2,3,1
550,2025-02-12,139921.12,8,5,1,1
551,2020-05-13,454191.15,12,5,2,0
552,2020-01-01,149779.37,19,6,3,1
553,2023-08-05,814791.54,5,6,2,0
554,2022-06-15,93042.63,3,1,1,1
555,2023-11-07,754572.39,5,0,0,1
556,2020-02-13,52221.44,10,8,2,0
557,2020-08-13,808914.27,4,0,1,1
558,2025-07-12,630880.16,15,1,1,1
559,2020-05-15,329149.37,18,0,0,1
560,2023-10-01,411463.31,17,0,2,0
561,2024-09-02,676881.07,12,1,2,0
562,2020-09-18,193771.86,11,0,1,1
563,2021-11-24,891417.46,16,0,2,0
564,2021-12-27,488058.26,19,9,2,0
565,2021-01-10,762538.1,18,6,2,0
566,2022-10-17,511629.07,9,9,2,0
567,2025-02-06,457756.44,3,2,1,1
568,2021-12-06,474919.41,14,3,2,0
569,2021-06-22,369493.46,14,0,2,0
570,2022-11-11,735426.65,3,0,2,0
571,2024-02-19,847690.92,15,2,3,1
572,2024-09-18,855852.7,8,5,1,1
573,2023-12-01,129934.26,13,0,0,1
574,2025-10-08,763754.23,4,6,2,0
575,2020-12-04,207955.07,2,3,1,1
576,2022-08-17,22056.56,2,5,2,0
577,2021-09-16,282704.44,12,4,1,1
578,2021-10-13,299939.91,7,0,3,1
579,2021-06-27,811691.16,4,6,2,0
580,2020-12-05,744972.35,15,7,1,1
581,2022-10-30,93837.72,5,7,1,1
582,2021-06-28,332701.69,19,7,2,0
583,2023-12-22,258786.85,17,7,2,0
584,2025-11-18,599500.64,5,9,1,1
585,2025-06-08,546096.85,6,6,1,1
586,2022-03-14,682123.68,6,5,3,1
587,2023-06-08,911622.53,0,2,2,0
588,2020-04-28,426862.82,16,9,2,0
589,2021-03-08,659364.77,8,2,0,1
590,2025-08-28,919168.97,13,6,3,1
591,2024-04-04,546263.78,13,7,1,1
592,2025-05-23,315198.17,17,5,2,0
593,2023-11-27,408871.15,4,6,2,0
594,2024-12-31,757067.52,10,7,3,1
595,2020-07-19,722811.05,14,3,3,1
596,2021-09-23,750931.25,12,7,0,1
597,2025-03-24,745863.92,19,2,2,0
598,2022-06-30,921254.31,13,0,1,1
599,2024-03-28,766365.09,17,2,0,1
600,2022-06-13,856882.72,8,9,1,1
601,2020-01-27,577974.53,10,0,2,0
602,2021-07-26,647729.67,12,8,0,1
603,2023-05-01,968042.28,0,8,2,0
604,2025-04-03,871597.87,19,6,0,1
605,2023-07-15,779586.64,7,8,2,0
606,2022-12-10,688659.5,16,0,0,1
607,2021-10-31,364933.06,13,9,2,0
608,2024-10-09,552644.31,17,6,2,0
609,2021-05-25,64576.91,14,6,3,1
610,2022-12-12,422005.08,8,5,2,0
611,2021-04-10,120777.45,5,3,0,1
612,2022-04-19,731353.14,10,7,0,1
613,2022-07-20,893394.46,3,9,2,0
614,2022-12-09,182342.17,16,2,2,0
615,2022-07-25,253226.55,1,0,2,0
616,2021-10-24,858411.13,10,8,2,0
617,2023-01-15,589973.85,0,3,0,1
618,2022-07-23,592425.79,15,5,1,1
619,2020-09-23,567247.6,0,1,2,0
620,2020-01-15,226078.15,6,6,3,1
621,2021-04-29,250869.99,2,9,1,1
622,2024-06-13,950146.68,9,9,2,0
623,2023-12-31,726235.45,14,1,2,0
624,2020-06-16,99530.14,0,2,2,0
625,2025-02-17,230708.89,5,2,1,1
626,2020-03-03,630844.37,17,5,2,0
627,2022-10-25,290630.73,1,8,0,1
628,2022-11-09,259216.32,17,0,0,1
629,2023-09-11,210324.51,19,3,0,1
630,2020-05-28,193869.59,12,5,2,0
631,2022-05-24,617197.28,13,1,1,1
632,2024-04-07,906790.34,2,6,2,0
633,2022-06-01,367520.54,2,7,2,0
